Planet_Name,Host_Star_Name,Number_of_Stars,Number_of_Planets,Number_of_Moons,Discovery_Method,Discovery_Year,Discovery_Facility,Orbital_Period_Days,Orbital_Distance_AU,Planet_Radius_Earth_Units,Planet_Radius_Jupiter_Units,Planet_Mass_Earth_Units,Planet_Mass_Jupiter_Units,Mass_Measurement_Type,Orbit_Eccentricity,Insolation_Flux_Earth_Units,Equilibrium_Temperature_K,Star_Spectral_Type,Star_Temperature_K,Star_Radius_Solar_Units,Star_Mass_Solar_Units,Star_Metallicity,Star_Metallicity_Ratio,Star_Surface_Gravity,Right_Ascension_Deg,Declination_Deg,Distance_From_Earth_Light_Years,Star_Gaia_Magnitude
11 Com b,11 Com,2,1,0,Radial Velocity,2007,Xinglong Station,323.21,1.178,12.2,1.09,4914.89848585,15.464,Msini,0.238,4.515000000000001,449.05,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],2.45,185.1787793,17.7932516,303.927163976,4.44038
11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,0.08,4.515000000000001,449.05,K4 III,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,229.2745954,71.8239428,408.74196076,4.56216
14 And b,14 And,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,13.1,1.16,1131.15130051,3.559,Msini,0.0,4.515000000000001,449.05,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],2.55,352.82415,39.2358367,246.04947715199998,4.91781
14 Her b,14 Her,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1766.41,2.839,12.5,1.12,2828.6728223,8.9,Mass,0.3683,4.515000000000001,449.05,K0,5338.0,0.93,0.97,0.43,[Fe/H],4.45,242.6021014,43.8163621,58.487272388,6.383
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,Multiple Observatories,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,0.68,4.515000000000001,449.05,G3 V,5750.0,1.13,1.08,0.06,[Fe/H],4.36,295.4656422,50.5168243,68.948399932,6.06428
17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,Lick Observatory,578.38,1.45,12.9,1.15,1373.01871824,4.32,Msini,0.06,4.515000000000001,449.05,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],1.7,243.4620874,-11.8377905,407.54170668,4.75429
18 Del b,18 Del,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,12.5,1.12,2926.24614325,9.207,Msini,0.024,4.515000000000001,449.05,G6 III,4980.0,8.8,2.1,-0.06,[Fe/H],2.87,314.6078375,10.8391378,248.60262631999996,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,Gemini Observatory,33000.0,330.0,18.647,1.664,3000.0,8.0,Mass,0.4,68.8655,1700.0,K7 V,4060.0,1.31316,0.85,-0.036,Unknown,3.99592,242.3762343,-21.0831403,453.79715059999995,12.0572
24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,13.9,1.24,280.64248338,0.883,Msini,0.032,4.515000000000001,449.05,G3 IV,4816.0,12.19,1.05,-0.78,[Fe/H],2.28,217.1555242,49.8446488,313.065076628,5.3339
24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,452.8,1.333,13.4,1.19,632.46,1.99,Msini,0.09,4.515000000000001,449.05,K0 IV,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,155.8684866,-0.9023998,235.057693796,6.20374
24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,883.0,2.08,13.9,1.24,273.32,0.86,Msini,0.29,4.515000000000001,449.05,K0 IV,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,155.8684866,-0.9023998,235.057693796,6.20374
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,Subaru Telescope,33000.0,118.0,13.0,1.16,1271.313628,4.0,Mass,0.4,68.8655,1450.0,M V,3100.0,0.84,0.17,0.01,[Fe/H],4.5,69.3405531,26.8502997,419.05827504,14.3374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,Paranal Observatory,33000.0,84.0,12.3,1.1,4131.79,13.0,Mass,0.4,68.8655,1542.5,M5.5/M6,4365.5,1.1830500000000002,0.19,-0.036,Unknown,4.31078,15.8992489,-55.2658291,153.945632,10.7319
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,W. M. Keck Observatory,33000.0,52.0,11.209,1.0,7786.5,24.5,Mass,0.4,68.8655,1600.0,M3.5 V,3530.0,0.36645,0.4,-0.036,Unknown,4.85804,20.7128012,-24.6646128,110.33237783599999,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,33000.0,156.0,16.14096,1.44,4417.837,13.9,Mass,0.4,68.8655,1542.5,M6,3064.0,0.281,0.108,-0.036,Unknown,4.59,34.8427046,-39.4230767,130.7547700544252,15.0123
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,Imaging,2018,Mauna Kea Observatory,33000.0,1950.0,17.37392009,1.55,3616.88727166,11.38,Mass,0.4,68.8655,1723.0,M6 V,2859.0,0.315959,0.046,-0.036,Unknown,4.90849,42.4851627,-5.9599921,215.462893628,15.6894
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,33000.0,572.0,12.2,1.08,5720.911326,18.0,Mass,0.4,68.8655,2369.0,Unknown,2943.0,0.289776,0.264996,-0.036,Unknown,4.93718,59.7911026,20.1599759,383.02129859999997,16.9967
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,Hubble Space Telescope,33000.0,15.0,12.6,1.13,2383.6,7.5,Mass,0.4,68.8655,1542.5,M8.5,2936.0,0.231916,0.019,-0.036,Unknown,5.01181,70.4371079,23.0308544,392.77005890925756,18.9668
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,33000.0,266.0,11.9,1.06,8899.195396,28.0,Mass,0.4,68.8655,2677.0,Unknown,4365.5,1.1830500000000002,0.9,-0.036,Unknown,4.31078,165.3295388,-77.5440912,308.601305612,18.3299
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,33000.0,587.0,12.1,1.08,6356.56814,20.0,Mass,0.4,68.8655,2506.0,Unknown,3021.0,0.600455,0.58846,-0.036,Unknown,4.65082,178.7691634,-79.3197558,328.96746471999995,14.818
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,Paranal Observatory,33000.0,46.0,15.69257298,1.4,1652.7077164,5.2,Mass,0.4,68.8655,1163.0,M8,2825.0,0.21887,0.188001,-0.036,Unknown,5.03186,181.8890906,-39.5484399,209.74440048,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,Kepler,406.0,0.92,13.4,1.2,603.877,1.9,Mass,0.33,68.8655,718.0,Unknown,29564.0,0.203,0.48,-0.092,[Fe/H],5.508,294.6359173,46.0664076,1292.6605979199999,12.1376
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,33000.0,7493.0,12.4,1.1,3813.940884,12.0,Mass,0.4,68.8655,1616.0,Unknown,3592.0,0.672832,0.643977,-0.036,Unknown,4.59112,321.3662989,-81.6414894,111.269424024,10.8133
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,W. M. Keck Observatory,33000.0,230.0,12.3,1.1,3972.875,12.5,Mass,0.4,68.8655,1542.5,K7 V,4045.0,0.641152,0.6,-0.036,Unknown,4.62349,339.1025931,47.861683,226.918796972,11.9484
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,0,Imaging,2018,The 2 (Two) Micron All Sky Survey (2MASS),33000.0,518.0,11.9,1.06,9534.85221,30.0,Mass,0.4,68.8655,1600.0,M3,3352.0,0.437589,0.433173,-0.036,Unknown,4.7926,342.5634097,23.4259058,186.66201420399997,13.5759
4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,0.877,12.6,1.12,2511.48007211,7.902,Msini,0.453,4.515000000000001,449.05,K1 III,4415.0,18.11,1.234,-0.25,[Fe/H],1.8,130.0528099,64.3280504,239.595176068,4.23773
47 UMa b,47 UMa,1,3,0,Radial Velocity,1996,Lick Observatory,1078.0,2.1,13.2,1.18,804.08,2.53,Msini,0.032,4.515000000000001,449.05,G0V,5872.0,1.21334,1.06,0.04,[M/H],4.29541,164.8647611,40.4304931,44.998764851999994,4.87837
47 UMa c,47 UMa,1,3,0,Radial Velocity,2001,Lick Observatory,2391.0,3.6,14.2,1.27,171.621,0.54,Msini,0.098,4.515000000000001,449.05,G0V,5872.0,1.21334,1.06,0.04,[M/H],4.29541,164.8647611,40.4304931,44.998764851999994,4.87837
47 UMa d,47 UMa,1,3,0,Radial Velocity,2009,Lick Observatory,14002.0,11.6,13.5,1.2,521.22,1.64,Msini,0.16,4.515000000000001,449.05,G0V,5872.0,1.21334,1.06,0.04,[M/H],4.29541,164.8647611,40.4304931,44.998764851999994,4.87837
51 Eri b,51 Eri,3,1,0,Imaging,2015,Gemini Observatory,9100.0,10.4,12.4,1.11,3464.3296363,10.9,Mass,0.57,68.8655,807.0,F0 IV,7422.0,1.45,1.75,0.13,[Fe/H],4.31078,69.4007424,-2.4738245,97.0558717,5.15806
51 Peg b,51 Peg,1,1,0,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.013,4.515000000000001,449.05,G5V,5758.0,1.17561,1.03,0.18,[M/H],4.31038,344.3675399,20.7690958,50.428283783999994,5.28647
55 Cnc B b,55 Cnc B,2,7,0,Radial Velocity,2025,Mauna Kea Observatory,6.7994,0.044,1.69,0.151,3.5,0.01101223,Msini,0.0,4.515000000000001,449.05,M4.5 V,3286.0,0.274,0.26,0.16,[M/H],4.86,133.167908,28.3152863,40.695462588,11.6798
55 Cnc B c,55 Cnc B,2,7,0,Radial Velocity,2025,Mauna Kea Observatory,33.747,0.13,2.16,0.193,5.3,0.01667566,Msini,0.0,4.515000000000001,449.05,M4.5 V,3286.0,0.274,0.26,0.16,[M/H],4.86,133.167908,28.3152863,40.695462588,11.6798
55 Cnc b,55 Cnc,2,7,0,Radial Velocity,1996,Lick Observatory,14.651552,0.118,13.9,1.24,263.9785,0.8306,Mass,0.0029,4.515000000000001,700.0,G8 V,5198.0,0.98,1.015,0.39,[M/H],4.3,133.1468373,28.3298154,41.04836338,5.72973
55 Cnc c,55 Cnc,2,7,0,Radial Velocity,2004,McDonald Observatory,44.3936,0.247,8.51,0.76,54.4738,0.1714,Mass,0.088,4.515000000000001,449.05,G8 V,5198.0,0.98,1.015,0.39,[M/H],4.3,133.1468373,28.3298154,41.04836338,5.72973
55 Cnc d,55 Cnc,2,7,0,Radial Velocity,2002,Lick Observatory,4799.0,5.6,13.0,1.16,1232.493,3.878,Mass,0.0913,4.515000000000001,449.05,G8 V,5198.0,0.98,1.015,0.39,[M/H],4.3,133.1468373,28.3298154,41.04836338,5.72973
55 Cnc e,55 Cnc,2,7,0,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,Mass,0.05,2657.8322,1958.0,G8 V,5172.0,0.943,0.905,0.35,[Fe/H],4.43,133.1468373,28.3298154,41.04836338,5.72973
55 Cnc f,55 Cnc,2,7,0,Radial Velocity,2007,Multiple Observatories,260.58,0.802,7.59,0.677,44.812,0.141,Mass,0.063,4.515000000000001,449.05,G8 V,5198.0,0.98,1.015,0.39,[M/H],4.3,133.1468373,28.3298154,41.04836338,5.72973
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,2.028,13.4,1.2,597.83523357,1.881,Msini,0.042,4.515000000000001,449.05,K0 IV,4941.0,4.94,1.32,-0.17,[Fe/H],3.16,97.6960311,58.1611753,178.276543444,5.60686
61 Vir b,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,0.12,4.515000000000001,449.05,G5 V,5577.0,0.963,0.942,-0.01,[Fe/H],4.34,199.596455,-18.3157745,27.7340883792,4.54052
61 Vir c,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,0.14,4.515000000000001,449.05,G5 V,5577.0,0.963,0.942,-0.01,[Fe/H],4.34,199.596455,-18.3157745,27.7340883792,4.54052
61 Vir d,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.35,4.515000000000001,449.05,G5 V,5577.0,0.963,0.942,-0.01,[Fe/H],4.34,199.596455,-18.3157745,27.7340883792,4.54052
7 CMa b,7 CMa,1,2,0,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),0.06,4.515000000000001,449.05,K1III(+M),4826.0,4.87,1.34,0.21,[Fe/H],3.19,99.171276,-19.2561808,64.61182975599999,3.67853
7 CMa c,7 CMa,1,2,0,Radial Velocity,2019,Multiple Observatories,996.0,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.08,4.515000000000001,449.05,K1III(+M),4826.0,4.87,1.34,0.21,[Fe/H],3.19,99.171276,-19.2561808,64.61182975599999,3.67853
70 Vir b,70 Vir,1,1,0,Radial Velocity,1996,Lick Observatory,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,0.3988,4.515000000000001,449.05,G5V,5495.0,1.89,1.09,-0.09,[Fe/H],3.95,202.1064898,13.7763085,58.385511715999996,4.76178
75 Cet b,75 Cet,2,2,0,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,1.912,13.3,1.18,787.89662095,2.479,Msini,0.093,4.515000000000001,449.05,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],2.69,38.0391598,-1.0350269,270.58325762799996,5.09343
75 Cet c,75 Cet,2,2,0,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,3.929,13.9,1.24,289.85950718,0.912,Msini,0.023,4.515000000000001,449.05,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],2.69,38.0391598,-1.0350269,270.58325762799996,5.09343
8 UMi b,8 UMi,1,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.31,0.462,13.5,1.2,524.41687155,1.65,Msini,0.062,4.515000000000001,449.05,K0,4847.0,10.73,1.51,-0.03,[m/H],2.57,224.201685,74.9009379,530.17310112,6.55896
81 Cet b,81 Cet,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,2.104,13.1,1.17,1051.05854195,3.307,Msini,0.037,4.515000000000001,449.05,G5 III,4734.0,11.21,1.23,-0.11,[Fe/H],2.41,39.4243555,-3.3963607,330.2655656,5.37588
91 Aqr b,91 Aqr,3,1,0,Radial Velocity,2013,Lick Observatory,181.4,0.7,13.1,1.17,1017.0,3.2,Msini,0.027,4.515000000000001,449.05,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],2.52,348.9745031,-9.0878076,143.607791424,3.95311
AB Aur b,AB Aur,1,1,0,Imaging,2022,Subaru Telescope,33000.0,93.9,12.5,1.12,2860.455663,9.0,Mass,0.4,68.8655,1542.5,Unknown,9770.0,2.95887,2.4,-0.036,Unknown,3.77411,73.9410446,30.5510888,528.78693812,7.07854
AB Pic b,AB Pic,1,1,0,Imaging,2005,Paranal Observatory,33000.0,260.0,12.3,1.1,4290.5,13.5,Mass,0.4,68.8655,1542.5,K2 V,5285.0,0.999394,0.9,0.04,[Fe/H],4.53,94.8039208,-58.0541184,163.2329241,8.8378
AF Lep b,AF Lep,1,1,0,Imaging,2023,Paranal Observatory,8905.0,8.996,13.0,1.16,1147.36054927,3.61,Mass,0.015,68.8655,1400.0,F8,6140.0,1.25,1.218,0.19,[Fe/H],4.4,81.7699216,-11.9011752,87.593759984,6.18644
AT2021ueyL b,AT2021ueyL,1,1,0,Microlensing,2025,Multiple Observatories,4168.69,4.01,13.6,1.22,425.89006538,1.34,Mass,0.15,68.8655,55.0,M V,3680.0,1.42487,0.49,-0.24,Unknown,4.3237749999999995,324.5450417,26.4665694,3392.0224,13.8327
AU Mic b,AU Mic,1,4,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463446,0.07,4.79,0.42733591,8.99,0.0282857,Mass,0.07,21.2,554.8,M1 V,3540.0,0.862,0.635,0.01,[Fe/H],4.37,311.2911369,-31.34245,31.709212475999994,7.84038
AU Mic c,AU Mic,1,4,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859023,0.119,2.79,0.24890756,14.46,0.04549625,Mass,0.18,7.3,424.7,M1 V,3540.0,0.862,0.635,0.01,[Fe/H],4.37,311.2911369,-31.34245,31.709212475999994,7.84038
AU Mic d,AU Mic,1,4,0,Transit Timing Variations,2023,Multiple Observatories,12.73596,0.1732868498,1.02,0.0912,1.053,0.00331,Mass,0.00305,56.729,570.0,M1 V,3678.0,0.744,0.51,0.23,[Fe/H],4.404,311.2911369,-31.34245,31.709212475999994,7.84038
AU Mic e,AU Mic,1,4,0,Radial Velocity,2025,Mauna Kea Observatory,33.11,0.95,4.87,0.434,21.1,0.06638802,Mass,0.152,4.515000000000001,449.05,M1 V,3665.0,0.82,0.6,0.12,[M/H],4.52,311.2911369,-31.34245,31.709212475999994,7.84038
BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,2017,Multiple Observatories,481.9,1.3,12.7,1.13,2034.112,6.4,Msini,0.2,4.515000000000001,449.05,Unknown,4095.0,32.35,1.14,-0.71,[Fe/H],1.89,177.5647268,2.7601075,3491.9239828,8.9977
BD+05 4868 A b,BD+05 4868 A,2,1,0,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),1.271869,0.0208,2.449,0.218485335,6.2,0.01950738,Mass,0.0,106.484,1820.0,K V,4596.0,0.69,0.7,-0.05,[Fe/H],4.6,326.8614036,6.6053185,142.10192917199998,9.84152
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,2009,McDonald Observatory,268.94,0.78,13.8,1.23,330.5432,1.04,Msini,0.29,4.515000000000001,449.05,K2 V,4864.0,0.86,0.49,0.17,[Fe/H],4.26,318.4010002,14.6893834,160.96450911999997,9.35108
BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.576,13.8,1.23,337.21763,1.061,Msini,0.001,4.515000000000001,449.05,G5,4649.0,8.95,1.08,-0.22,[Fe/H],2.61,176.4820239,14.6163182,2505.0248501999995,9.9918
BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,2013,McDonald Observatory,137.48,0.539,13.7,1.23,352.78,1.11,Msini,0.26,4.515000000000001,449.05,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.8,240.09564,15.5467507,1390.7944152,8.7178
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,2009,McDonald Observatory,379.63,1.45,12.1,1.08,6807.63,21.42,Msini,0.15,4.515000000000001,449.05,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,154.186782,19.8912626,5021.856547599999,9.22684
