# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 28 09:47:48 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,ra,dec,sy_dist,sy_gaiamag
1,11 Com b,11 Com,2,1,0,Radial Velocity,2007,Xinglong Station,323.21000000000,1.1780000000,12.20000000,1.09000000,4914.89848585,15.46400000,Msini,0.238000,,,G8 III,4874.00,13.760000,2.090000,-0.2600,[Fe/H],2.450000,185.1787793,17.7932516,93.18460000,4.4403800
2,11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000000,1.5300000000,12.30000000,1.09000000,4684.81420000,14.74000000,Msini,0.080000,,,K4 III,4213.00,29.790000,2.780000,-0.0200,[Fe/H],1.930000,229.2745954,71.8239428,125.32100000,4.5621600
3,14 And b,14 And,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76000000000,0.7750000000,13.10000000,1.16000000,1131.15130051,3.55900000,Msini,0.000000,,,K0 III,4888.00,11.550000,1.780000,-0.2100,[Fe/H],2.550000,352.8241500,39.2358367,75.43920000,4.9178100
4,14 Her b,14 Her,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1766.41000000000,2.8390000000,12.50000000,1.12000000,2828.67282230,8.90000000,Mass,0.368300,,,K0,5338.00,0.930000,0.970000,0.4300,[Fe/H],4.450000,242.6021014,43.8163621,17.93230000,6.3830000
5,16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,Multiple Observatories,798.50000000000,1.6600000000,13.50000000,1.20000000,565.73740000,1.78000000,Msini,0.680000,,,G3 V,5750.00,1.130000,1.080000,0.0600,[Fe/H],4.360000,295.4656422,50.5168243,21.13970000,6.0642800
6,17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,Lick Observatory,578.38000000000,1.4500000000,12.90000000,1.15000000,1373.01871824,4.32000000,Msini,0.060000,,,K3 III,4157.00,25.920000,1.220000,-0.0100,[Fe/H],1.700000,243.4620874,-11.8377905,124.95300000,4.7542900
7,18 Del b,18 Del,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85000000000,2.4760000000,12.50000000,1.12000000,2926.24614325,9.20700000,Msini,0.024000,,,G6 III,4980.00,8.800000,2.100000,-0.0600,[Fe/H],2.870000,314.6078375,10.8391378,76.22200000,5.2747600
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,Gemini Observatory,,330.0000000000,18.64700000,1.66400000,3000.00000000,8.00000000,Mass,,,1700.00,K7 V,4060.00,1.313160,0.850000,,,3.995920,242.3762343,-21.0831403,139.13500000,12.0572000
9,24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33000000000,0.1940000000,13.90000000,1.24000000,280.64248338,0.88300000,Msini,0.032000,,,G3 IV,4816.00,12.190000,1.050000,-0.7800,[Fe/H],2.280000,217.1555242,49.8446488,95.98630000,5.3339000
10,24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,452.80000000000,1.3330000000,13.40000000,1.19000000,632.46000000,1.99000000,Msini,0.090000,,,K0 IV,5098.00,4.900000,1.540000,-0.0300,[Fe/H],3.500000,155.8684866,-0.9023998,72.06910000,6.2037400
11,24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,883.00000000000,2.0800000000,13.90000000,1.24000000,273.32000000,0.86000000,Msini,0.290000,,,K0 IV,5098.00,4.900000,1.540000,-0.0300,[Fe/H],3.500000,155.8684866,-0.9023998,72.06910000,6.2037400
12,2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,Subaru Telescope,,118.0000000000,13.00000000,1.16000000,1271.31362800,4.00000000,Mass,,,1450.00,M V,3100.00,0.840000,0.170000,0.0100,[Fe/H],4.500000,69.3405531,26.8502997,128.48400000,14.3374000
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,Paranal Observatory,,84.0000000000,12.30000000,1.10000000,4131.79000000,13.00000000,Mass,,,,M5.5/M6,,,0.190000,,,,15.8992489,-55.2658291,47.20000000,
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,W. M. Keck Observatory,,52.0000000000,11.20900000,1.00000000,7786.50000000,24.50000000,Mass,,,1600.00,M3.5 V,3530.00,0.366450,0.400000,,,4.858040,20.7128012,-24.6646128,33.82810000,12.9025000
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,,156.0000000000,16.14096000,1.44000000,4417.83700000,13.90000000,Mass,,,,M6,3064.00,0.281000,0.108000,,,4.590000,34.8427046,-39.4230767,40.08964117,15.0123000
16,2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,Imaging,2018,Mauna Kea Observatory,,1950.0000000000,17.37392009,1.55000000,3616.88727166,11.38000000,Mass,,,1723.00,M6 V,2859.00,0.315959,0.046000,,,4.908490,42.4851627,-5.9599921,66.06130000,15.6894000
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,572.0000000000,12.20000000,1.08000000,5720.91132600,18.00000000,Mass,,,2369.00,,2943.00,0.289776,0.264996,,,4.937180,59.7911026,20.1599759,117.43500000,16.9967000
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,Hubble Space Telescope,,15.0000000000,12.60000000,1.13000000,2383.60000000,7.50000000,Mass,,,,M8.5,2936.00,0.231916,0.019000,,,5.011810,70.4371079,23.0308544,120.42398696,18.9668000
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,266.0000000000,11.90000000,1.06000000,8899.19539600,28.00000000,Mass,,,2677.00,,,,,,,,165.3295388,-77.5440912,,18.3299000
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,587.0000000000,12.10000000,1.08000000,6356.56814000,20.00000000,Mass,,,2506.00,,3021.00,0.600455,0.588460,,,4.650820,178.7691634,-79.3197558,100.86200000,14.8180000
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,Paranal Observatory,,46.0000000000,15.69257298,1.40000000,1652.70771640,5.20000000,Mass,,,1163.00,M8,2825.00,0.218870,0.188001,,,5.031860,181.8890906,-39.5484399,64.30800000,17.4076000
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,Kepler,406.00000000000,0.9200000000,13.40000000,1.20000000,603.87700000,1.90000000,Mass,0.330000,,,,29564.00,0.203000,0.480000,-0.0920,[Fe/H],5.508000,294.6359173,46.0664076,396.33200000,12.1376000
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,7493.0000000000,12.40000000,1.10000000,3813.94088400,12.00000000,Mass,,,1616.00,,3592.00,0.672832,0.643977,,,4.591120,321.3662989,-81.6414894,34.11540000,10.8133000
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,W. M. Keck Observatory,,230.0000000000,12.30000000,1.10000000,3972.87500000,12.50000000,Mass,,,,K7 V,4045.00,0.641152,0.600000,,,4.623490,339.1025931,47.8616830,69.57370000,11.9484000
25,2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,0,Imaging,2018,The 2 (Two) Micron All Sky Survey (2MASS),,518.0000000000,11.90000000,1.06000000,9534.85221000,30.00000000,Mass,,,1600.00,M3,3352.00,0.437589,0.433173,,,4.792600,342.5634097,23.4259058,57.23090000,13.5759000
26,4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27000000000,0.8770000000,12.60000000,1.12000000,2511.48007211,7.90200000,Msini,0.453000,,,K1 III,4415.00,18.110000,1.234000,-0.2500,[Fe/H],1.800000,130.0528099,64.3280504,73.46030000,4.2377300
27,47 UMa b,47 UMa,1,3,0,Radial Velocity,1996,Lick Observatory,1078.00000000000,2.1000000000,13.20000000,1.18000000,804.08000000,2.53000000,Msini,0.032000,,,G0V,5872.00,1.213340,1.060000,0.0400,[M/H],4.295410,164.8647611,40.4304931,13.79670000,4.8783700
28,47 UMa c,47 UMa,1,3,0,Radial Velocity,2001,Lick Observatory,2391.00000000000,3.6000000000,14.20000000,1.27000000,171.62100000,0.54000000,Msini,0.098000,,,G0V,5872.00,1.213340,1.060000,0.0400,[M/H],4.295410,164.8647611,40.4304931,13.79670000,4.8783700
29,47 UMa d,47 UMa,1,3,0,Radial Velocity,2009,Lick Observatory,14002.00000000000,11.6000000000,13.50000000,1.20000000,521.22000000,1.64000000,Msini,0.160000,,,G0V,5872.00,1.213340,1.060000,0.0400,[M/H],4.295410,164.8647611,40.4304931,13.79670000,4.8783700
30,51 Eri b,51 Eri,3,1,0,Imaging,2015,Gemini Observatory,9100.00000000000,10.4000000000,,,3464.32963630,10.90000000,Mass,0.570000,,807.00,F0 IV,7422.00,1.450000,1.750000,0.1300,[Fe/H],4.310780,69.4007424,-2.4738245,29.75750000,5.1580600
31,51 Peg b,51 Peg,1,1,0,Radial Velocity,1995,Haute-Provence Observatory,4.23078500000,0.0527000000,14.30000000,1.27000000,146.20180000,0.46000000,Mass,0.013000,,,G5V,5758.00,1.175610,1.030000,0.1800,[M/H],4.310380,344.3675399,20.7690958,15.46140000,5.2864700
32,55 Cnc B b,55 Cnc B,2,7,0,Radial Velocity,2025,Mauna Kea Observatory,6.79940000000,0.0440000000,1.69000000,0.15100000,3.50000000,0.01101223,Msini,0.000000,,,M4.5 V,3286.00,0.274000,0.260000,0.1600,[M/H],4.860000,133.1679080,28.3152863,12.47730000,11.6798000
33,55 Cnc B c,55 Cnc B,2,7,0,Radial Velocity,2025,Mauna Kea Observatory,33.74700000000,0.1300000000,2.16000000,0.19300000,5.30000000,0.01667566,Msini,0.000000,,,M4.5 V,3286.00,0.274000,0.260000,0.1600,[M/H],4.860000,133.1679080,28.3152863,12.47730000,11.6798000
34,55 Cnc b,55 Cnc,2,7,0,Radial Velocity,1996,Lick Observatory,14.65155200000,0.1180000000,13.90000000,1.24000000,263.97850000,0.83060000,Mass,0.002900,,700.00,G8 V,5198.00,0.980000,1.015000,0.3900,[M/H],4.300000,133.1468373,28.3298154,12.58550000,5.7297300
35,55 Cnc c,55 Cnc,2,7,0,Radial Velocity,2004,McDonald Observatory,44.39360000000,0.2470000000,8.51000000,0.76000000,54.47380000,0.17140000,Mass,0.088000,,,G8 V,5198.00,0.980000,1.015000,0.3900,[M/H],4.300000,133.1468373,28.3298154,12.58550000,5.7297300
36,55 Cnc d,55 Cnc,2,7,0,Radial Velocity,2002,Lick Observatory,4799.00000000000,5.6000000000,13.00000000,1.16000000,1232.49300000,3.87800000,Mass,0.091300,,,G8 V,5198.00,0.980000,1.015000,0.3900,[M/H],4.300000,133.1468373,28.3298154,12.58550000,5.7297300
37,55 Cnc e,55 Cnc,2,7,0,Radial Velocity,2004,McDonald Observatory,0.73654740000,0.0154400000,1.87500000,0.16727630,7.99000000,0.02513923,Mass,0.050000,2657.8322,1958.00,G8 V,5172.00,0.943000,0.905000,0.3500,[Fe/H],4.430000,133.1468373,28.3298154,12.58550000,5.7297300
38,55 Cnc f,55 Cnc,2,7,0,Radial Velocity,2007,Multiple Observatories,260.58000000000,0.8020000000,7.59000000,0.67700000,44.81200000,0.14100000,Mass,0.063000,,,G8 V,5198.00,0.980000,1.015000,0.3900,[M/H],4.300000,133.1468373,28.3298154,12.58550000,5.7297300
